time	rad	xerr	yerr
36.56666	0.335137879	0.002083	0.02830
37.4	-0.333944248	0.002083	0.02830
38.13333	0.330118487	0.002083	0.02830
38.93333	-0.327860032	0.002083	0.02830
39.7	0.333244197	0.002083	0.02830
40.46666	-0.323803887	0.002083	0.02830
41.23333	0.324872203	0.002083	0.02830
42	-0.318655167	0.002083	0.02830
42.8	0.319680024	0.002083	0.02830
43.56666	-0.321749635	0.002083	0.02830
44.3	0.312443542	0.002083	0.02830
45.13333	-0.312632037	0.002083	0.02830
45.86663	0.313451993	0.002083	0.02830
46.66663	-0.304243987	0.002083	0.02830
47.43333	0.307198479	0.002083	0.02830
48.20003	-0.298260999	0.002083	0.02830
48.93333	0.293662232	0.002083	0.02830
49.76663	-0.3003903	0.002083	0.02830
50.50003	0.292712948	0.002083	0.02830
51.33333	-0.293951782	0.002083	0.02830
52.06663	0.289570483	0.002083	0.02830
52.86663	-0.288975849	0.002083	0.02830
53.63333	0.286422084	0.002083	0.02830
54.40003	-0.283663068	0.002083	0.02830
55.16663	0.284577621	0.002083	0.02830
55.96663	-0.27963834	0.002083	0.02830
56.73333	0.276942156	0.002083	0.02830
57.50003	-0.275629319	0.002083	0.02830
58.23333	0.272881997	0.002083	0.02830
59.06663	-0.269915113	0.002083	0.02830
59.83333	0.271999035	0.002083	0.02830
60.60003	-0.27435872	0.002083	0.02830
61.40003	0.270249692	0.002083	0.02830
62.16663	-0.263466122	0.002083	0.02830
62.96663	0.260812524	0.002083	0.02830
63.70003	-0.262272317	0.002083	0.02830
64.46663	0.259973545	0.002083	0.02830
65.26663	-0.264553462	0.002083	0.02830
66.03333	0.259973545	0.002083	0.02830
66.76663	-0.250515782	0.002083	0.02830
67.56663	0.254494608	0.002083	0.02830
68.33333	-0.250515782	0.002083	0.02830
69.06663	0.252144174	0.002083	0.02830
69.86663	-0.24732183	0.002083	0.02830
70.666663	0.249	0.002083	0.02830
71.466663	-0.247	0.002083	0.02830
72.199996	-0.246601009	0.002083	0.02830
72.999996	0.242517638	0.002083	0.02830
73.699996	-0.252241912	0.002083	0.02830
74.499996	0.238431998	0.002083	0.02830
75.299996	-0.246601009	0.002083	0.02830
76.066663	0.235150954	0.002083	0.02830
76.83333	-0.244977854	0.002083	0.02830
77.599996	0.234366777	0.002083	0.02830
78.399996	-0.240104895	0.002083	0.02830
79.166663	0.230321629	0.002083	0.02830
79.93333	-0.235286042	0.002083	0.02830
80.699993	0.227809402	0.002083	0.02830
81.466663	-0.236959813	0.002083	0.02830
82.233333	0.222292069	0.002083	0.02830
82.999993	-0.227049835	0.002083	0.02830
83.766663	0.220493682	0.002083	0.02830
84.533333	-0.236959813	0.002083	0.02830
85.333333	0.220493682	0.002083	0.02830
86.099993	-0.224065323	0.002083	0.02830
86.833333	0.217207926	0.002083	0.02830
87.633333	-0.225077614	0.002083	0.02830
88.399993	0.215766109	0.002083	0.02830
89.166663	-0.224803597	0.002083	0.02830
89.933333	0.21320449	0.002083	0.02830
90.733333	-0.222600992	0.002083	0.02830
91.499993	0.211792345	0.002083	0.02830
92.233333	-0.215457361	0.002083	0.02830
93.033333	0.207154482	0.002083	0.02830
93.766663	-0.209708247	0.002083	0.02830
94.599993	0.209221475	0.002083	0.02830
95.366663	-0.205259404	0.002083	0.02830
96.099993	0.202658689	0.002083	0.02830
96.866663	-0.215766284	0.002083	0.02830
97.666663	0.194732453	0.002083	0.02830
98.433333	-0.204580471	0.002083	0.02830
99.199993	0.196077927	0.002083	0.02830
99.999993	-0.207839	0.002083	0.02830
100.699993	0.198707788	0.002083	0.02830
101.499993	-0.19674569	0.002083	0.02830
102.266663	0.190115709	0.002083	0.02830
103.033333	-0.19674569	0.002083	0.02830
103.833333	0.192139243	0.002083	0.02830
104.566663	-0.191500976	0.002083	0.02830
105.366663	0.188848775	0.002083	0.02830
106.133333	-0.194134678	0.002083	0.02830

